Gallery Name,Latitude,Longitude,Number of employment,Total Number of Block
Old Melbourne Gaol Crime & Justice Experience,-37.80776441,144.9654639,998.7717949,15
Polly Woodside,-37.82425743,144.9534781,2500.418307,6
Australian Centre for Contemporary Art,-37.82660454,144.9672529,506.479661,8
Victorian Arts Centre,-37.82199473,144.9688373,5309.390164,4
The Ian Potter Centre: NGV Australia,-37.81748314,144.969899,2027.933826,5
Thoroughbred Racing Gallery,-37.81886627,144.9839701,4131,1
Fox Classic Car Collection,-37.82137443,144.9484967,1977.421788,11
Melbourne Museum,-37.80355181,144.9716907,5372.43299,2
National Sports Museum,-37.81895449,144.9846698,4131,1
Sinclair's Cottage,-37.81454075,144.980555,1494,1
Victoria Police Museum,-37.82221828,144.95404,2916.369818,4
Immigration Museum,-37.81917988,144.9604268,3261.303549,9
Fire Services Museum Victoria,-37.80857613,144.9753737,3281.002274,5
The Ian Potter Museum Of Art,-37.79739396,144.9641567,1771.113074,7
Koorie Heritage Trust Inc,-37.81338543,144.9540279,3099.826537,19
Cooks' Cottage,-37.81446049,144.9794713,1494,1
Royal Exhibition Building,-37.80460262,144.9715219,5918,1
Australian Centre For The Moving Image (ACMI),-37.81761073,144.9690704,1861.493495,9
The Museum Of Australian Chinese History,-37.81076861,144.9692339,2421.577692,23
