Gallery Name,Latitude,Longitude,Number of Seats,Total Number of Block
Old Melbourne Gaol Crime & Justice Experience,-37.80776441,144.9654639,2442,14
Polly Woodside,-37.82425743,144.9534781,843,3
Australian Centre for Contemporary Art,-37.82660454,144.9672529,0,0
Victorian Arts Centre,-37.82199473,144.9688373,1083,4
The Ian Potter Centre: NGV Australia,-37.81748314,144.969899,2654,11
Thoroughbred Racing Gallery,-37.81886627,144.9839701,50,1
Fox Classic Car Collection,-37.82137443,144.9484967,1225,4
Melbourne Museum,-37.80355181,144.9716907,173,3
National Sports Museum,-37.81895449,144.9846698,50,1
Sinclair's Cottage,-37.81454075,144.980555,0,0
Victoria Police Museum,-37.82221828,144.95404,1093,4
Immigration Museum,-37.81917988,144.9604268,2052,11
Fire Services Museum Victoria,-37.80857613,144.9753737,1065,3
The Ian Potter Museum Of Art,-37.79739396,144.9641567,668,5
Koorie Heritage Trust Inc,-37.81338543,144.9540279,1774,7
Cooks' Cottage,-37.81446049,144.9794713,0,0
Royal Exhibition Building,-37.80460262,144.9715219,173,3
Australian Centre For The Moving Image (ACMI),-37.81761073,144.9690704,2834,12
The Museum Of Australian Chinese History,-37.81076861,144.9692339,4415,15
