Gallery Name,Latitude,Longitude,Number of Off Street Parking,Number of On Street Parking,Total
Old Melbourne Gaol Crime,-37.80776441,144.9654639,33,1,34
Victorian Arts Centre,-37.82199473,144.9688373,0,3,3
The Ian Potter Centre: NGV Australia,-37.81748314,144.969899,294,12,306
Thoroughbred Racing Gallery,-37.81886627,144.9839701,0,1,1
Fox Classic Car Collection,-37.82137443,144.9484967,0,1,1
Koorie Heritage Trust Inc,-37.81338543,144.9540279,0,3,3
Australian Centre For The Moving Image (ACMI),-37.81761073,144.9690704,294,12,306
Blindside Gallery,-37.816711,144.966812,294,11,305
Flinders Lane Gallery,-37.815715,144.970033,294,13,307
Mailbox Art Space,-37.815758,144.969861,294,13,307
RMIT Gallery,-37.8125865,144.9554579,0,2,2
Neon Parc,-37.813892,144.96402,0,6,6
Outre Gallery,-37.812816,144.962224,0,4,4
Anna Schwartz Gallery,-37.816048,144.96889,294,13,307
ARC ONE Gallery,-37.81473,144.97308,294,10,304
Gallery Funaki,-37.811609,144.971399,33,7,40
Lesley Kehoe Galleries,-37.814922,144.97052,294,12,306
SpACE@Collins,-37.815775,144.964823,294,10,304
Tolarno Galleries,-37.813133,144.97133,327,10,337
Immigration Museum,-37.8183741,144.9592075,0,1,1
National Gallery of Victoria,-37.8225942,144.9689278,0,2,2
The Dax Centre,-37.7982687,144.9585509,0,1,1
Fortyfivedownstairs Inc,-37.8169558,144.9708847,294,11,305
Pieces of Eight Gallery,-37.8134924,144.9673838,327,14,341
Magnet Galleries Melbourne,-37.8165815,144.9523872,0,2,2
