Gallery Name,Latitude,Longitude,Number of Off Street Parking,Number of On Street Parking
Old Melbourne Gaol Crime,-37.80776441,144.9654639,0,13
Victorian Arts Centre,-37.82199473,144.96883730000002,0,1
The Ian Potter Centre: NGV Australia,-37.81748314,144.969899,294,1
Thoroughbred Racing Gallery,-37.81886627,144.9839701,0,1
Fox Classic Car Collection,-37.82137443,144.9484967,0,14
Koorie Heritage Trust Inc,-37.81338543,144.9540279,0,16
Australian Centre For The Moving Image (ACMI),-37.81761073,144.96907040000002,294,1
Blindside Gallery,-37.816711,144.966812,294,1
Flinders Lane Gallery,-37.815715000000004,144.970033,294,8
Mailbox Art Space,-37.815758,144.969861,294,8
RMIT Gallery,-37.8125865,144.95545790000003,0,21
Neon Parc,-37.813891999999996,144.96402,0,4
Outre Gallery,-37.812816,144.962224,0,8
Anna Schwartz Gallery,-37.816047999999995,144.96889,294,6
ARC ONE Gallery,-37.81473,144.97308,0,13
Gallery Funaki,-37.811609000000004,144.971399,0,14
Lesley Kehoe Galleries,-37.814921999999996,144.97052,0,13
SpACE@Collins,-37.815775,144.964823,0,5
Tolarno Galleries,-37.813133,144.97133,0,16
Immigration Museum,-37.81837410000001,144.9592075,0,19
National Gallery of Victoria,-37.822594200000005,144.96892780000002,0,2
The Dax Centre,-37.7982687,144.9585509,0,4
Fortyfivedownstairs Inc,-37.816955799999995,144.97088469999997,0,3
Pieces of Eight Gallery,-37.8134924,144.96738380000002,0,8
Magnet Galleries Melbourne,-37.8165815,144.9523872,0,2
