,Gallery Name,Latitude,Longitude,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
0,Old Melbourne Gaol Crime,-37.80776441,144.9654639,844,874,879,929,934,967,889
1,Victorian Arts Centre,-37.82199473,144.96883730000002,1993,1638,1411,1720,1542,1590,1900
2,The Ian Potter Centre: NGV Australia,-37.81748314,144.969899,1100,1169,1006,1154,1082,1147,1071
3,Thoroughbred Racing Gallery,-37.81886627,144.9839701,187,480,483,508,524,528,206
4,Fox Classic Car Collection,-37.82137443,144.9484967,172,691,709,739,742,711,189
5,Koorie Heritage Trust Inc,-37.81338543,144.9540279,777,1227,1199,1288,1343,1350,868
6,Australian Centre For The Moving Image (ACMI),-37.81761073,144.96907040000002,1260,1266,1078,1243,1167,1231,1227
7,Blindside Gallery,-37.816711,144.966812,1869,2324,2242,2441,2417,2436,2116
8,Flinders Lane Gallery,-37.815715000000004,144.970033,315,821,827,877,915,905,375
9,Mailbox Art Space,-37.815758,144.969861,361,862,863,918,954,946,427
10,RMIT Gallery,-37.8125865,144.95545790000003,796,959,940,998,1036,1045,874
11,Neon Parc,-37.813891999999996,144.96402,1942,2179,1975,2205,2179,2305,2215
12,Outre Gallery,-37.812816,144.962224,715,898,864,929,923,924,808
13,Anna Schwartz Gallery,-37.816047999999995,144.96889,704,1175,1146,1231,1255,1263,823
14,ARC ONE Gallery,-37.81473,144.97308,192,504,507,534,551,554,213
15,Gallery Funaki,-37.811609000000004,144.971399,176,594,620,663,683,683,233
16,Lesley Kehoe Galleries,-37.814921999999996,144.97052,174,668,685,721,763,748,214
17,SpACE@Collins,-37.815775,144.964823,1555,2017,1897,2110,2082,2101,1791
18,Tolarno Galleries,-37.813133,144.97133,189,734,752,792,830,810,230
19,Immigration Museum,-37.81837410000001,144.9592075,444,1009,1042,1119,1118,1118,523
20,National Gallery of Victoria,-37.822594200000005,144.96892780000002,2069,1769,1564,1822,1668,1733,1971
21,The Dax Centre,-37.7982687,144.9585509,147,417,399,425,405,391,156
22,Fortyfivedownstairs Inc,-37.816955799999995,144.97088469999997,584,820,730,826,811,855,590
23,Pieces of Eight Gallery,-37.8134924,144.96738380000002,1845,2050,1917,2070,2047,2145,2051
24,Magnet Galleries Melbourne,-37.8165815,144.9523872,834,1735,1718,1833,1941,1933,951
