wheelchair,Latitude,Longitude
yes,-37.81746989209639,144.96025433528794
no,-37.815989825999864,144.97279836576897
yes,-37.807831221471965,144.95795526595654
yes,-37.79373229128235,144.93035186163308
yes,-37.81859887229392,144.97105956826817
yes,-37.8082334704767,144.96018687493768
no,-37.82691574923447,144.9746477838788
yes,-37.817903197056154,144.9662642552638
no,-37.803077866412245,144.94986517956968
yes,-37.82294828867767,144.97098568179825
yes,-37.82764304616528,144.98181166075952
no,-37.840147692965054,144.98138308753738
yes,-37.7855983874526,144.9630353603256
no,-37.79870959701599,144.96759388009733
yes,-37.82172068166997,144.95557809313962
yes,-37.795523148389,144.952142962802
yes,-37.79679899805757,144.95196665126468
yes,-37.81384641664995,144.97137409472109
yes,-37.820342128586276,144.96421972799456
no,-37.806379618970524,144.95905779158946
yes,-37.8129330992456,144.9600121469519
yes,-37.79251146448698,144.95685172084129
yes,-37.82289159858857,144.975280957334
yes,-37.80625893301874,144.9692027022002
no,-37.80945202894246,144.97307695563703
no,-37.806805767380254,144.96264850030644
yes,-37.815278082082735,144.97758877995489
no,-37.80954604636232,144.9694071187106
yes,-37.80891324235132,144.95504018635694
no,-37.81343920794399,144.9629227264507
no,-37.78848882114304,144.92356372197432
yes,-37.83825284124979,144.9843892199417
yes,-37.790174410412384,144.94366905096862
,-37.803094275484256,144.94994632091922
yes,-37.81324543360198,144.96689658968143
no,-37.84001779326322,144.9812270146221
yes,-37.818924455699296,144.9342385117904
yes,-37.7789496090064,144.96046591899102
yes,-37.83393826633729,144.98178404635058
no,-37.80894206847336,144.96564884552268
yes,-37.81094232809633,144.98685873937842
yes,-37.78790482714769,144.95949479077186
yes,-37.80207629420745,144.96642403988702
yes,-37.78303248417686,144.94185635299425
no,-37.819795975740334,144.93766540530564
yes,-37.798125461506075,144.92642466756246
yes,-37.845206563009405,144.9826144313013
yes,-37.81203615704364,144.98307493665166
U,-37.81722059052804,144.93400271183995
no,-37.80612149907781,144.95653844268273
no,-37.803994634967296,144.95909066756946
yes,-37.81435831108069,144.94168216712015
no,-37.830132537548096,144.96501222835187
yes,-37.82100477977538,144.97593322373976
yes,-37.802645554985105,144.969821287215
yes,-37.82175860330799,144.9473834186781
no,-37.793011678725755,144.97399489761827
yes,-37.81521576619692,144.96694328510318
no,-37.80463970714722,144.96285021945613
no,-37.812240775587135,144.97392555886628
no,-37.813837792176315,144.96309721024045
yes,-37.81940611413847,144.96127683121782
yes,-37.798064023886866,144.92110584392117
yes,-37.8100356799286,144.9699024633049
yes,-37.830849124048974,144.97518226820782
yes,-37.814345522392365,144.9551179464378
no,-37.80682129201847,144.95874700464088
yes,-37.80271182455448,144.9622681269577
yes,-37.82331083443533,144.94182760665478
no,-37.78187131786685,144.95614252894822
yes,-37.8203552728411,144.97331290887433
yes,-37.813418435008906,144.97746700744847
yes,-37.815838165017645,144.9610620730027
no,-37.78622124839705,144.95500087587342
